,image_id,width,height,x,y,w,h,class
1525,3943,1622,626,752,426,4,3,6
1526,3943,1622,626,1281,415,16,12,6
1527,3947,1622,626,1576,482,41,43,6
1528,3947,1622,626,1397,439,131,146,3
1529,3950,1622,626,1196,434,22,16,6
1530,3952,1622,626,762,258,29,29,2
1531,3956,1622,626,1345,368,157,179,6
1532,3968,1622,626,566,423,11,9,6
1533,3968,1622,626,485,414,7,7,1
1534,3968,1622,626,485,421,7,6,7
1535,3970,1622,626,999,406,6,5,6
1536,3970,1622,626,999,412,6,5,6
1537,3970,1622,626,991,402,7,6,6
1538,3970,1622,626,991,409,7,6,6
1539,3970,1622,626,26,405,24,18,5
1540,3971,1622,626,901,177,52,61,2
1541,3971,1622,626,890,277,56,59,2
1542,3975,1622,626,905,149,51,64,5
1543,3976,1622,626,445,0,74,29,2
1544,3976,1622,626,446,33,76,69,6
1545,3979,1622,626,1027,370,20,21,7
1546,3980,1622,626,824,218,31,34,5
1547,3981,1622,626,984,487,30,25,6
1548,3981,1622,626,988,513,30,28,6
1549,3970,1622,626,27,406,22,18,5
1550,3970,1622,626,991,401,7,7,6
1551,3970,1622,626,991,409,7,6,6
1552,3970,1622,626,999,407,4,4,6
1553,3970,1622,626,999,412,6,5,6
1554,3986,1622,626,938,90,31,30,2
1555,3986,1622,626,935,121,28,24,6
1556,3989,1622,626,726,476,26,26,6
1557,3992,1622,626,1236,293,65,58,6
1558,3992,1622,626,1235,350,74,49,6
1559,4000,1622,626,775,179,16,17,5
1560,4000,1622,626,519,189,55,51,6
1561,4002,1622,626,835,414,32,29,6
1562,4002,1622,626,679,411,6,5,2
1563,4002,1622,626,679,417,6,5,5
1564,4004,1622,626,694,258,9,9,1
1565,4004,1622,626,694,268,9,9,7
1566,4004,1622,626,1109,225,14,14,4
1567,4004,1622,626,1108,242,18,15,2
1568,4004,1622,626,1072,254,13,11,5
1569,4004,1622,626,1527,167,26,26,5
1570,4004,1622,626,1524,209,26,26,2
1571,4004,1622,626,922,249,9,9,5
1572,4004,1622,626,922,259,10,9,5
1573,4004,1622,626,922,275,9,9,2
1574,4005,1622,626,995,262,11,11,3
1575,4005,1622,626,567,250,5,9,1
1576,4006,1622,626,823,328,8,7,2
1577,4006,1622,626,824,319,8,8,5
1578,4007,1622,626,1050,211,55,50,2
1579,4009,1622,626,928,244,18,19,2
1580,4010,1622,626,757,351,15,15,2
1581,4010,1622,626,755,368,18,10,6
1582,4011,1622,626,830,227,10,10,7
1583,4012,1622,626,653,247,6,7,1
1584,4012,1622,626,674,264,11,9,1
1585,4012,1622,626,675,273,9,9,7
1586,4013,1622,626,820,263,21,20,6
1587,4014,1622,626,937,294,12,11,5
1588,4014,1622,626,914,291,9,9,4
1589,4014,1622,626,914,301,9,9,2
1590,4015,1622,626,1033,196,20,22,5
1591,4019,1622,626,667,224,42,41,5
1592,4019,1622,626,745,172,38,53,2
1593,4021,1622,626,667,189,28,27,4
1594,4021,1622,626,667,219,31,28,2
1595,4021,1622,626,251,237,22,19,6
1596,4021,1622,626,251,257,23,16,6
1597,4021,1622,626,662,250,18,15,6
1598,4023,1622,626,1392,36,107,89,4
1599,4023,1622,626,1389,127,120,77,6
1600,4023,1622,626,733,328,10,10,2
1601,4023,1622,626,780,315,10,10,6
1602,4023,1622,626,779,328,13,10,6
1603,4023,1622,626,320,261,25,27,4
1604,4024,1622,626,947,110,60,91,5
1605,4024,1622,626,91,277,41,28,2
1606,4025,1622,626,701,255,11,14,1
1607,4025,1622,626,1159,209,92,83,3
1608,4027,1622,626,1029,295,8,8,4
1609,4027,1622,626,1029,305,10,9,2
1610,4027,1622,626,1016,303,7,8,5
1611,4027,1622,626,1160,293,7,10,5
1612,4028,1622,626,791,308,17,18,2
1613,4028,1622,626,792,327,15,13,6
1614,4030,1622,626,697,266,11,11,1
1615,4030,1622,626,696,278,13,13,7
1616,4030,1622,626,927,260,15,14,5
1617,4030,1622,626,899,268,12,13,4
1618,4030,1622,626,575,240,10,10,1
1619,4030,1622,626,619,240,10,10,1
1620,4030,1622,626,665,242,9,10,1
1621,4030,1622,626,509,236,11,12,1
1622,4030,1622,626,322,231,10,8,1
1623,4030,1622,626,363,230,11,13,1
1624,4030,1622,626,416,234,11,10,1
1625,4030,1622,626,409,258,13,15,1
1626,4030,1622,626,821,273,8,8,5
1627,4030,1622,626,820,263,10,8,5
1628,4030,1622,626,767,264,8,7,5
1629,4031,1622,626,410,157,27,27,5
1630,4031,1622,626,243,154,34,30,5
1631,4034,1622,626,720,320,11,11,4
1632,4034,1622,626,720,291,14,14,5
1633,4034,1622,626,848,334,13,13,7
1634,4035,1622,626,235,235,22,18,5
1635,4036,1622,626,888,224,59,53,6
1636,4037,1622,626,1174,111,48,41,4
1637,4037,1622,626,1174,154,50,44,2
1638,4037,1622,626,1164,180,23,23,6
1639,4037,1622,626,1165,204,25,20,6
1640,4037,1622,626,773,219,17,14,6
1641,4037,1622,626,774,234,15,13,6
1642,4038,1622,626,1002,309,6,5,6
1643,4039,1622,626,1258,168,68,69,5
1644,4039,1622,626,953,221,40,41,4
1645,4039,1622,626,304,236,28,27,2
1646,4039,1622,626,304,266,28,26,6
1647,4039,1622,626,433,283,19,18,4
1648,4039,1622,626,715,319,9,9,2
1649,4039,1622,626,754,308,9,9,6
1650,4039,1622,626,754,318,10,9,6
1651,4041,1622,626,1234,227,59,53,2
1652,4041,1622,626,1243,170,51,53,5
1653,4042,1622,626,906,148,46,48,2
1654,4047,1622,626,1041,180,93,79,6
1655,4047,1622,626,738,339,13,14,3
1656,4047,1622,626,681,350,6,7,1
1657,4048,1622,626,362,215,19,32,5
1658,4048,1622,626,402,217,21,33,7
1659,4049,1622,626,789,406,8,7,2
1660,4050,1622,626,170,134,39,36,5
1661,4050,1622,626,416,154,36,37,4
1662,4050,1622,626,416,191,39,36,2
1663,4050,1622,626,610,256,11,12,5
1664,4050,1622,626,748,262,8,9,5
1665,4050,1622,626,834,179,31,33,4
1666,4050,1622,626,833,213,33,32,2
1667,4051,1622,626,1060,211,56,53,3
1668,4051,1622,626,786,284,12,12,4
1669,4051,1622,626,786,297,13,12,2
1670,4051,1622,626,804,295,13,13,5
1671,4055,1622,626,617,327,25,23,2
1672,4059,1622,626,1141,0,118,72,2
1673,4059,1622,626,933,239,53,49,5
1674,4060,1622,626,382,245,24,33,7
1675,4060,1622,626,652,284,12,10,6
1676,4060,1622,626,654,275,11,8,6
1677,4060,1622,626,912,258,19,19,2
1678,4060,1622,626,912,238,19,18,4
1679,4061,1622,626,990,264,20,19,4
1680,4061,1622,626,989,285,22,21,2
1681,4061,1622,626,1087,259,31,30,5
1682,4062,1622,626,810,391,11,11,1
1683,4062,1622,626,811,403,12,12,7
1684,4063,1622,626,1046,198,67,57,6
1685,4066,1622,626,1245,182,26,24,5
1686,4066,1622,626,1243,208,27,25,2
1687,4066,1622,626,1153,231,19,17,5
1688,4066,1622,626,937,222,12,12,4
1689,4066,1622,626,938,236,11,11,5
1690,4066,1622,626,647,231,10,11,1
1691,4066,1622,626,647,244,9,11,7
1692,4068,1622,626,1302,308,10,10,2
1693,4068,1622,626,1301,298,10,8,5
1694,4069,1622,626,814,413,26,27,4
1695,4069,1622,626,613,359,15,14,4
1696,4069,1622,626,630,359,14,14,4
1697,4069,1622,626,646,359,15,15,2
1698,4069,1622,626,646,377,14,15,5
1699,4074,1622,626,762,227,25,24,4
1700,4074,1622,626,764,251,25,23,2
1701,4074,1622,626,453,302,15,13,6
1702,4074,1622,626,456,290,14,11,6
1703,4076,1622,626,786,220,35,34,6
1704,4076,1622,626,1146,255,30,24,6
1705,4079,1622,626,953,253,18,20,3
1706,4080,1622,626,827,292,8,10,1
1707,4080,1622,626,1323,301,10,9,7
1708,4082,1622,626,642,168,29,28,2
1709,4082,1622,626,640,200,28,27,5
1710,4082,1622,626,851,49,29,31,4
1711,4082,1622,626,727,44,30,31,4
1712,4082,1622,626,538,35,33,32,4
1713,4082,1622,626,382,33,42,42,4
1714,4082,1622,626,298,28,44,44,4
1715,4082,1622,626,52,161,35,35,1
1716,4082,1622,626,57,198,30,36,7
1717,4082,1622,626,884,237,12,12,5
1718,4082,1622,626,865,217,11,12,2
1719,4082,1622,626,864,239,12,13,2
1720,4084,1622,626,1068,237,23,22,2
1721,4084,1622,626,1071,261,23,19,6
1722,4084,1622,626,812,313,10,10,3
1723,4084,1622,626,649,334,9,7,1
1724,4084,1622,626,651,342,7,7,7
1725,4085,1622,626,1033,324,20,18,5
1726,4088,1622,626,135,237,28,24,1
1727,4088,1622,626,135,275,31,27,7
1728,4088,1622,626,802,287,9,8,2
1729,4088,1622,626,806,270,9,10,6
1730,4089,1622,626,948,259,18,49,5
1731,4089,1622,626,805,214,24,24,2
1732,4093,1622,626,1079,230,22,25,5
1733,4093,1622,626,1003,249,20,20,5
1734,4093,1622,626,941,260,14,15,5
1735,4093,1622,626,847,251,8,8,5
1736,4093,1622,626,847,261,11,11,5
1737,4093,1622,626,778,246,6,7,5
1738,4093,1622,626,778,254,7,6,5
1739,4093,1622,626,700,252,16,17,1
1740,4093,1622,626,699,270,16,17,7
1741,4093,1622,626,652,224,10,11,1
1742,4093,1622,626,590,224,10,11,1
1743,4093,1622,626,526,224,11,12,1
1744,4093,1622,626,433,223,13,13,1
1745,4093,1622,626,296,224,14,13,1
1746,4093,1622,626,220,225,14,12,1
1747,4093,1622,626,156,226,17,14,1
1748,4093,1622,626,270,260,19,19,1
1749,4094,1622,626,1063,219,32,32,5
1750,4094,1622,626,982,191,25,25,2
1751,4094,1622,626,983,237,25,27,2
1752,4096,1622,626,899,244,13,27,2
1753,4096,1622,626,637,256,7,7,6
1754,4097,1622,626,648,284,8,9,2
1755,4097,1622,626,637,275,7,7,5
1756,4097,1622,626,637,290,7,7,4
1757,4099,1622,626,719,330,14,13,6
1758,4099,1622,626,703,345,8,7,3
1759,4099,1622,626,672,348,4,6,1
1760,4100,1622,626,636,270,5,5,3
1761,4100,1622,626,646,276,3,3,5
1762,4100,1622,626,701,270,4,5,5
1763,4100,1622,626,694,268,3,3,2
1764,4100,1622,626,694,264,4,3,5
1765,4100,1622,626,576,271,4,4,1
1766,4100,1622,626,576,276,4,4,2
1767,4101,1622,626,326,229,29,32,1
1768,4101,1622,626,324,261,32,33,7
1769,4101,1622,626,530,268,21,20,4
1770,4101,1622,626,696,134,46,51,4
1771,4101,1622,626,695,185,46,48,2
1772,4101,1622,626,1178,237,39,34,2
1773,4101,1622,626,1179,196,38,38,4
1774,4102,1622,626,936,61,86,91,2
1775,4103,1622,626,809,415,4,4,2
1776,4103,1622,626,621,413,7,6,1
1777,4109,1622,626,626,249,30,30,4
1778,4109,1622,626,632,189,27,30,4
1779,4109,1622,626,920,285,25,27,7
1780,4109,1622,626,820,304,6,7,2
1781,4112,1622,626,885,154,38,43,2
1782,4112,1622,626,737,198,18,17,4
1783,4112,1622,626,617,162,9,10,4
1784,4112,1622,626,629,162,9,11,4
1785,4112,1622,626,640,185,11,10,5
1786,4112,1622,626,716,206,10,9,6
1787,4114,1622,626,602,321,9,9,6
1788,4114,1622,626,626,318,9,10,7
1789,4114,1622,626,659,315,9,11,5
1790,4114,1622,626,648,315,9,11,5
1791,4114,1622,626,636,316,9,10,5
1792,4114,1622,626,613,320,10,10,5
1793,4114,1622,626,755,305,7,8,5
1794,4114,1622,626,763,304,10,10,5
1795,4114,1622,626,881,332,10,10,2
1796,4114,1622,626,881,324,10,8,5
1797,4115,1622,626,381,221,11,10,5
1798,4115,1622,626,409,261,10,9,7
1799,4115,1622,626,180,252,10,8,1
1800,4115,1622,626,170,250,12,12,1
1801,4115,1622,626,575,262,8,7,2
1802,4117,1622,626,1180,119,57,45,2
1803,4117,1622,626,1184,70,52,49,4
1804,4117,1622,626,767,210,16,13,6
1805,4117,1622,626,767,194,17,15,6
1806,4117,1622,626,272,209,12,21,1
1807,4118,1622,626,1102,108,68,61,6
1808,4118,1622,626,822,219,9,10,4
1809,4120,1622,626,636,275,27,29,1
1810,4120,1622,626,635,304,28,29,7
1811,4121,1622,626,916,299,14,10,4
1812,4121,1622,626,915,282,15,15,2
1813,4121,1622,626,937,319,23,24,7
1814,4121,1622,626,961,321,20,19,6
1815,4121,1622,626,979,319,22,17,6
1816,4121,1622,626,1001,318,26,17,6
1817,4121,1622,626,639,180,30,31,5
1818,4121,1622,626,111,250,24,24,1
1819,4123,1622,626,518,238,19,20,5
1820,4123,1622,626,736,244,14,14,5
1821,4127,1622,626,440,132,57,66,2
1822,4127,1622,626,431,200,64,58,5
1823,4128,1622,626,1110,282,28,21,6
1824,4135,1622,626,1154,171,60,52,4
1825,4138,1622,626,599,213,14,16,1
1826,4138,1622,626,599,230,16,17,7
1827,4138,1622,626,791,196,21,21,5
1828,4138,1622,626,790,237,21,21,4
1829,4138,1622,626,1004,236,7,7,4
1830,4138,1622,626,1003,243,8,8,2
1831,4138,1622,626,1014,241,10,10,2
1832,4138,1622,626,1036,231,16,14,5
1833,4139,1622,626,933,301,17,15,6
1834,4144,1622,626,287,167,69,63,5
1835,4145,1622,626,689,394,10,11,2
1836,4145,1622,626,499,320,22,21,5
1837,4147,1622,626,745,195,37,42,7
1838,4148,1622,626,725,392,6,6,2
1839,4149,1622,626,123,329,16,15,1
1840,4149,1622,626,915,373,14,12,3
1841,4151,1622,626,1092,240,29,28,2
1842,4151,1622,626,1093,210,28,28,4
1843,4151,1622,626,993,251,7,6,2
1844,4151,1622,626,994,245,6,5,4
1845,4154,1622,626,1115,261,9,9,2
1846,4157,1622,626,1433,281,42,30,7
1847,4157,1622,626,1477,274,36,29,6
1848,4157,1622,626,1516,271,46,32,6
1849,4157,1622,626,1277,306,10,7,5
1850,4157,1622,626,1121,215,11,9,7
1851,4161,1622,626,315,230,35,26,6
1852,4161,1622,626,314,203,35,26,6
1853,4161,1622,626,499,264,8,8,5
1854,4161,1622,626,508,256,9,8,2
1855,4165,1622,626,566,52,36,35,6
1856,4165,1622,626,1233,200,45,43,2
1857,4165,1622,626,832,251,7,7,5
1858,4165,1622,626,843,251,7,7,5
1859,4165,1622,626,881,245,6,6,5
1860,4167,1622,626,712,160,18,19,5
1861,4167,1622,626,711,191,20,16,6
1862,4167,1622,626,960,196,24,27,4
1863,4169,1622,626,1066,239,45,42,5
1864,4169,1622,626,819,278,14,12,2
1865,4169,1622,626,820,292,11,10,6
1866,4169,1622,626,761,299,6,5,5
1867,4172,1622,626,776,29,32,33,7
1868,4172,1622,626,487,269,16,18,5
1869,4172,1622,626,378,322,6,7,5
1870,4172,1622,626,35,314,22,21,1
1871,4174,1622,626,741,379,10,9,5
1872,4174,1622,626,674,417,9,10,7
1873,4174,1622,626,514,347,14,14,1
1874,4174,1622,626,513,362,12,11,7
1875,4175,1622,626,854,329,40,42,5
1876,4175,1622,626,647,284,28,27,5
1877,4175,1622,626,649,254,28,27,4
1878,4176,1622,626,1065,269,35,30,6
1879,4176,1622,626,1063,306,35,28,6
1880,4177,1622,626,726,223,13,15,2
1881,4178,1622,626,942,74,47,65,5
1882,4178,1622,626,950,226,31,40,2
1883,4178,1622,626,370,274,22,19,5
1884,4178,1622,626,172,307,14,13,2
1885,4180,1622,626,848,236,11,14,2
1886,4180,1622,626,744,257,6,7,2
1887,4184,1622,626,383,305,25,22,5
1888,4184,1622,626,452,373,14,11,5
1889,4184,1622,626,677,391,21,19,6
1890,4185,1622,626,696,315,8,7,5
1891,4185,1622,626,696,324,8,7,5
1892,4188,1622,626,498,174,18,21,1
1893,4188,1622,626,498,197,20,21,7
1894,4188,1622,626,858,204,13,15,5
1895,4188,1622,626,834,211,10,11,5
1896,4188,1622,626,741,208,7,7,6
1897,4188,1622,626,740,195,7,6,5
1898,4190,1622,626,996,238,15,15,4
1899,4191,1622,626,270,257,13,12,5
1900,4192,1622,626,1003,313,7,8,2
1901,4194,1622,626,901,409,14,19,6
1902,4194,1622,626,885,407,15,19,7
1903,4194,1622,626,917,407,15,23,6
1904,4194,1622,626,934,407,18,23,6
1905,4194,1622,626,533,330,7,7,1
1906,4195,1622,626,1441,343,21,18,5
1907,4196,1622,626,643,363,11,10,5
1908,4199,1622,626,842,220,40,37,6
1909,4203,1622,626,1183,128,58,47,2
1910,4203,1622,626,1182,82,55,44,4
1911,4203,1622,626,296,225,10,20,1
1912,4203,1622,626,778,207,14,13,6
1913,4203,1622,626,778,222,16,13,6
1914,4204,1622,626,1239,291,61,71,5
1915,4204,1622,626,740,436,9,8,2
1916,4204,1622,626,670,423,4,4,5
1917,4204,1622,626,665,422,4,4,5
1918,4204,1622,626,675,428,4,5,5
1919,4204,1622,626,675,423,4,3,2
1920,4207,1622,626,1020,285,10,8,6
1921,4208,1622,626,228,89,66,52,5
1922,4209,1622,626,1030,171,53,53,2
1923,4210,1622,626,832,282,9,8,2
1924,4211,1622,626,677,264,56,58,5
1925,4213,1622,626,593,321,32,31,2
1926,4214,1622,626,1086,18,50,73,2
1927,4217,1622,626,855,342,21,21,2
1928,4220,1622,626,1195,376,32,29,4
1929,4220,1622,626,1008,405,8,8,3
1930,4220,1622,626,996,404,8,8,5
1931,4221,1622,626,673,189,15,16,2
1932,4221,1622,626,579,150,28,30,4
1933,4221,1622,626,582,86,31,31,4
1934,4222,1622,626,667,314,44,44,2
1935,4222,1622,626,422,365,13,11,6
1936,4222,1622,626,424,355,14,10,6
1937,4222,1622,626,425,345,12,9,6
1938,4223,1622,626,673,335,7,6,5
1939,4223,1622,626,673,343,7,6,5
1940,4225,1622,626,701,229,25,27,2
1941,4225,1622,626,697,202,28,25,4
1942,4225,1622,626,340,289,18,14,6
1943,4225,1622,626,342,275,17,13,6
1944,4227,1622,626,1128,225,35,34,2
1945,4227,1622,626,952,267,9,7,6
1946,4227,1622,626,847,258,6,6,5
1947,4227,1622,626,848,248,5,5,2
1948,4227,1622,626,848,255,6,6,5
1949,4227,1622,626,849,245,4,4,5
1950,4227,1622,626,847,273,6,6,6
1951,4228,1622,626,846,348,8,9,5
1952,4229,1622,626,23,205,84,92,4
1953,4229,1622,626,101,43,97,84,4
1954,4229,1622,626,869,318,19,21,4
1955,4229,1622,626,867,342,21,21,2
1956,4230,1622,626,1131,264,25,25,2
1957,4231,1622,626,347,136,60,57,4
1958,4231,1622,626,346,199,60,56,2
1959,4232,1622,626,947,298,20,19,3
1960,4232,1622,626,778,282,6,9,1
1961,4232,1622,626,777,293,6,5,7
1962,4233,1622,626,963,260,10,14,5
1963,4233,1622,626,965,277,7,15,2
1964,4234,1622,626,798,220,7,8,3
1965,4235,1622,626,607,267,15,16,5
1966,4235,1622,626,575,260,16,16,2
1967,4235,1622,626,312,238,25,20,5
1968,4235,1622,626,334,275,17,18,2
1969,4235,1622,626,314,282,23,21,4
1970,4238,1622,626,751,300,18,17,3
1971,4238,1622,626,751,336,18,18,3
1972,4238,1622,626,678,331,9,10,2
1973,4240,1622,626,682,315,6,6,1
1974,4240,1622,626,681,321,8,7,7
1975,4244,1622,626,1334,97,76,54,4
1976,4244,1622,626,1333,150,71,56,2
1977,4245,1622,626,948,260,25,24,2
1978,4246,1622,626,923,285,9,9,3
1979,4250,1622,626,665,347,11,12,2
1980,4250,1622,626,810,363,9,9,7
1981,4251,1622,626,441,268,64,61,5
1982,4251,1622,626,1087,290,58,52,6
1983,4252,1622,626,719,130,21,25,5
1984,4252,1622,626,802,191,13,12,1
1985,4252,1622,626,802,202,11,11,7
1986,4252,1622,626,1148,209,10,11,2
1987,4252,1622,626,1158,205,14,11,5
1988,4252,1622,626,1151,198,12,12,4
1989,4252,1622,626,985,205,11,12,5
1990,4253,1622,626,776,208,45,45,5
1991,4253,1622,626,776,258,44,45,5
1992,4253,1622,626,816,256,27,30,2
1993,4253,1622,626,816,224,28,30,4
1994,4256,1622,626,790,371,13,11,6
1995,4258,1622,626,565,333,11,17,1
1996,4258,1622,626,331,329,12,13,5
1997,4259,1622,626,1074,231,9,9,5
1998,4259,1622,626,1075,241,8,7,2
1999,4259,1622,626,958,241,6,5,5
2000,4259,1622,626,958,247,7,7,5
2001,4259,1622,626,958,258,6,7,2
2002,4261,1622,626,961,209,23,26,5
2003,4261,1622,626,756,257,9,9,2
2004,4262,1622,626,1348,217,54,56,2
2005,4262,1622,626,1348,167,54,49,4
2006,4262,1622,626,1196,236,41,37,4
2007,4262,1622,626,616,292,17,15,6
2008,4262,1622,626,613,272,19,17,6
2009,4263,1622,626,792,193,31,30,4
2010,4263,1622,626,794,226,31,32,2
2011,4263,1622,626,413,270,17,16,6
2012,4263,1622,626,413,253,19,15,6
2013,4263,1622,626,788,261,17,16,6
2014,4263,1622,626,787,245,15,14,6
2015,4265,1622,626,812,338,25,25,2
2016,4265,1622,626,809,367,25,19,6
2017,4266,1622,626,1525,58,67,65,2
2018,4266,1622,626,1531,134,77,51,6
2019,4266,1622,626,1315,229,18,15,6
2020,4266,1622,626,765,303,17,16,5
2021,4266,1622,626,547,331,10,10,1
2022,4266,1622,626,548,342,10,9,7
2023,4269,1622,626,910,138,54,59,2
2024,4270,1622,626,146,259,12,12,5
2025,4275,1622,626,807,352,14,12,6
2026,4275,1622,626,681,355,11,11,5
2027,4277,1622,626,790,301,5,7,1
2028,4277,1622,626,919,311,13,14,3
2029,4278,1622,626,952,237,20,21,4
2030,4279,1622,626,1013,303,7,6,5
2031,4279,1622,626,1002,309,7,6,5
2032,4279,1622,626,1013,311,7,8,2
2033,4280,1622,626,867,240,24,24,4
2034,4280,1622,626,866,267,26,25,2
2035,4280,1622,626,934,250,35,34,5
2036,4281,1622,626,668,296,12,12,2
2037,4285,1622,626,684,289,7,7,1
2038,4285,1622,626,684,296,7,8,7
2039,4287,1622,626,823,308,15,16,2
2040,4288,1622,626,880,290,17,16,5
2041,4288,1622,626,877,273,21,17,5
2042,4289,1622,626,639,268,8,8,2
2043,4289,1622,626,639,257,9,9,3
2044,4289,1622,626,363,258,15,15,7
2045,4289,1622,626,457,271,9,8,6
2046,4289,1622,626,167,80,44,39,5
2047,4291,1622,626,889,270,19,20,2
2048,4294,1622,626,558,260,11,10,6
2049,4294,1622,626,573,259,13,12,4
2050,4294,1622,626,588,256,12,14,7
2051,4294,1622,626,602,253,13,13,5
2052,4294,1622,626,619,251,12,13,5
2053,4294,1622,626,633,252,12,14,5
2054,4294,1622,626,764,236,10,11,5
2055,4294,1622,626,777,237,10,10,5
2056,4294,1622,626,931,263,11,11,4
2057,4294,1622,626,932,275,12,14,2
2058,4294,1622,626,931,251,11,10,5
2059,4295,1622,626,560,287,19,20,1
2060,4295,1622,626,560,309,19,18,7
2061,4295,1622,626,559,273,18,12,6
2062,4296,1622,626,1045,292,31,31,2
2063,4297,1622,626,1056,205,23,31,5
2064,4297,1622,626,531,270,14,13,5
2065,4299,1622,626,685,202,41,48,2
2066,4302,1622,626,953,219,17,15,2
2067,4305,1622,626,253,140,27,37,1
2068,4305,1622,626,255,177,28,37,7
2069,4305,1622,626,833,178,32,34,5
2070,4305,1622,626,974,191,17,15,4
2071,4305,1622,626,975,207,17,16,2
2072,4305,1622,626,1292,149,36,29,4
2073,4305,1622,626,1290,177,36,32,2
2074,4305,1622,626,1425,110,83,61,5
2075,4306,1622,626,422,208,43,38,5
2076,4306,1622,626,515,359,15,14,5
2077,4306,1622,626,878,378,32,31,6
2078,4309,1622,626,775,223,10,11,2
2079,4310,1622,626,1348,120,59,61,2
2080,4310,1622,626,1352,2,61,62,2
2081,4312,1622,626,1086,238,24,23,2
2082,4312,1622,626,1488,262,25,42,2
2083,4314,1622,626,558,242,18,17,1
2084,4314,1622,626,557,261,19,17,7
2085,4314,1622,626,984,308,13,13,5
2086,4315,1622,626,1005,282,35,35,3
2087,4315,1622,626,758,280,8,11,1
2088,4318,1622,626,793,409,18,19,2
2089,4318,1622,626,640,364,14,13,2
2090,4318,1622,626,639,378,14,14,5
2091,4320,1622,626,692,214,10,10,6
2092,4320,1622,626,834,197,7,7,5
2093,4320,1622,626,833,205,7,6,5
2094,4323,1622,626,908,218,38,37,3
2095,4323,1622,626,778,229,14,16,4
2096,4323,1622,626,778,246,15,16,2
2097,4323,1622,626,745,266,7,7,5
2098,4323,1622,626,580,228,16,14,4
2099,4323,1622,626,580,243,18,16,2
2100,4323,1622,626,464,222,15,14,5
2101,4323,1622,626,347,245,20,16,1
2102,4323,1622,626,346,262,21,18,7
2103,4323,1622,626,644,265,9,9,5
2104,4324,1622,626,1238,232,59,48,2
2105,4324,1622,626,1087,253,37,32,5
2106,4324,1622,626,863,269,12,11,2
2107,4324,1622,626,864,282,12,10,5
2108,4324,1622,626,542,275,23,25,1
2109,4324,1622,626,959,305,9,9,4
2110,4325,1622,626,1050,469,23,24,2
2111,4325,1622,626,915,485,15,16,4
2112,4325,1622,626,799,440,10,12,4
2113,4325,1622,626,812,440,11,11,2
2114,4325,1622,626,787,440,10,11,4
2115,4325,1622,626,812,450,9,12,5
2116,4325,1622,626,423,406,35,37,1
2117,4325,1622,626,416,446,40,37,7
2118,4326,1622,626,696,343,14,15,4
2119,4327,1622,626,1064,263,21,19,2
2120,4327,1622,626,768,214,14,13,6
2121,4327,1622,626,854,272,5,5,5
2122,4327,1622,626,844,271,6,6,5
2123,4327,1622,626,883,266,5,5,4
2124,4328,1622,626,654,355,16,16,2
2125,4328,1622,626,853,367,11,12,7
2126,4333,1622,626,832,319,9,9,7
2127,4335,1622,626,720,376,13,15,1
2128,4335,1622,626,719,393,14,13,7
2129,4335,1622,626,958,387,6,6,5
2130,4335,1622,626,441,382,10,9,5
2131,4335,1622,626,385,397,8,8,2
2132,4337,1622,626,677,10,43,49,5
2133,4337,1622,626,1231,220,47,46,4
2134,4339,1622,626,611,167,24,24,2
2135,4339,1622,626,121,2,106,65,4
2136,4340,1622,626,783,384,7,7,1
2137,4340,1622,626,783,392,7,7,7
2138,4342,1622,626,990,237,72,65,6
2139,4342,1622,626,589,290,25,25,5
2140,4343,1622,626,811,246,16,14,6
2141,4343,1622,626,811,231,17,12,6
2142,4343,1622,626,1243,150,60,53,2
2143,4343,1622,626,1243,103,59,44,4
2144,4343,1622,626,347,248,9,17,1
2145,4344,1622,626,333,184,18,16,5
2146,4344,1622,626,391,257,11,9,7
2147,4344,1622,626,603,262,8,8,2
2148,4344,1622,626,457,263,9,9,6
2149,4345,1622,626,583,296,43,41,2
2150,4345,1622,626,583,211,40,41,5
2151,4346,1622,626,906,349,42,41,4
2152,4347,1622,626,574,337,9,7,1
2153,4347,1622,626,573,347,7,6,7
2154,4348,1622,626,627,272,16,15,2
2155,4348,1622,626,628,256,16,15,4
2156,4348,1622,626,50,236,32,34,7
2157,4349,1622,626,956,251,28,28,2
2158,4351,1622,626,943,299,35,31,2
2159,4351,1622,626,943,266,34,31,4
2160,4351,1622,626,651,310,4,5,1
2161,4351,1622,626,652,316,5,5,7
2162,4352,1622,626,1240,264,67,55,2
2163,4353,1622,626,634,202,10,10,2
2164,4353,1622,626,633,213,13,9,6
2165,4354,1622,626,1466,204,69,48,5
2166,4354,1622,626,915,246,20,20,5
2167,4354,1622,626,811,237,15,17,4
2168,4354,1622,626,811,254,16,16,2
2169,4355,1622,626,829,253,17,17,1
2170,4355,1622,626,829,272,15,18,7
2171,4355,1622,626,752,220,10,12,1
2172,4355,1622,626,688,218,11,11,1
2173,4355,1622,626,623,216,12,12,1
2174,4355,1622,626,524,211,14,13,1
2175,4355,1622,626,373,244,20,19,1
2176,4355,1622,626,291,204,15,14,1
2177,4355,1622,626,219,203,15,15,1
2178,4355,1622,626,1332,234,25,26,5
2179,4355,1622,626,1190,255,24,22,4
2180,4355,1622,626,1079,266,15,15,5
2181,4355,1622,626,922,256,10,9,5
2182,4355,1622,626,922,268,10,10,5
2183,4357,1622,626,997,249,12,12,5
